,source,target,year,weight
26704,target capital management limited (hk),infinity asset management limited,2020,1
26705,infinity asset management limited,thornton global wealth management limited,2004,1
26706,zurich advisory (hk) limited,boci-prudential asset management limited,2010,1
26707,fulbright futures limited,"gransing securities co., limited",nan,1
26708,boci securities limited,luk fook futures (hk) limited,2017,1
26709,phillip commodities (h.k.) limited,yf life investors limited,2008,1
26710,yue xiu securities company limited,beevest securities limited,nan,1
26711,south china securities limited,kgi futures (hong kong) limited,2006,1
26712,cgs-cimb securities (hong kong) limited,masterlink securities (hong kong) corporation limited,2004,1
26713,shanxi securities international limited,vbg capital limited,2015,1
26714,vbg capital limited,haitong international capital limited,nan,1
26715,bright fund management limited,china everbright securities (hk) limited,2018,1
26716,fulbright securities limited,kgi futures (hong kong) limited,2010,1
26717,kgi futures (hong kong) limited,fulbright futures limited,2012,1
26718,fulbright futures limited,"china cifco securities co., limited",2021,1
26719,"china cifco securities co., limited",celestial commodities limited,2008,1
26720,celestial commodities limited,"china cifco securities co., limited",2022,1
26721,zhongtai international securities limited,yuanta asia investment (hong kong) limited,2009,1
26722,phillip securities (hong kong) limited,china international futures (hong kong) company limited,2019,1
26723,nomura international (hong kong) limited,nuveen hong kong limited,2019,1
26724,clsa asset management limited,schroder investment management (hong kong) limited,2018,1
26725,head & shoulders asset management limited,cis securities asset management limited,2012,1
26726,tiger securities asset management company limited,venus sky investment limited,2020,1
26727,venus sky investment limited,head & shoulders securities limited,2017,1
26728,kgi asia limited,t g holborn (hk) limited,2006,1
26729,enlighten securities limited,haitong international securities company limited,2007,1
26730,blackhorn wealth management limited,ipp financial advisers limited,2014,1
26731,"anglo chinese corporate finance, limited (hk)",clsa capital markets limited,2015,1
26732,"anglo chinese corporate finance, limited (hk)",yunfeng financial markets limited,2018,1
26733,yunfeng financial markets limited,"anglo chinese corporate finance, limited (hk)",2008,1
26734,dws investments hong kong limited,lasalle investment management hong kong limited,2011,1
26735,jpmorgan funds (asia) limited,wm (hk) limited,2003,1
26736,korea investment management asia limited,clsa asset management limited,2010,1
26737,clsa asset management limited,korea investment & securities asia limited,2007,1
26738,korea investment & securities asia limited,nikko asset management hong kong limited,nan,1
26739,phillip commodities (h.k.) limited,united zone investment limited,2018,1
26740,kgi futures (hong kong) limited,hao tian asset management limited,2017,1
26741,hao tian asset management limited,emperor securities limited,2007,1
26742,emperor securities limited,changjiang futures (hk) limited,2015,1
26743,lion global financial limited,phillip securities (hong kong) limited,2007,1
26744,hang tung securities limited,hermes securities limited,2009,1
26745,sinomax securities limited,china tonghai securities limited,2011,1
26746,hooray capital limited,enlighten securities limited,2009,1
26747,ctbc asia limited,hooray securities limited,2011,1
26748,"kam fai securities co., limited",global credit securities limited,nan,1
26749,luk fook securities (hk) limited,oneplatform asset management limited,2020,1
26750,tfi securities and futures limited,zhongtai international asset management limited,2018,1
26751,s&p global ratings hong kong limited,cmb international capital limited,2021,1
26752,oneplatform asset management limited,fwd financial planning limited (hk),2018,1
26753,rhb futures hong kong limited,phillip securities (hong kong) limited,2010,1
26754,phillip securities (hong kong) limited,everbright securities investment services (hk) limited,2011,1
26755,optimas capital limited,credit agricole securities (asia) limited,2009,1
26756,ids forex hk limited,boxin jiayuan limited,2020,1
26757,vision finance (securities) limited,huarong international securities limited,2010,1
26758,huarong international securities limited,selina & co. limited (hk),2007,1
26759,essence international securities (hong kong) limited,fosun hani securities limited,2020,1
26760,fosun hani securities limited,ping an of china futures (hong kong) company limited,2017,1
26761,citic securities brokerage (hk) limited,china everbright forex & futures (hk) limited,2014,1
26762,celestial securities limited,cash asset management limited,2017,1
26763,kingkey securities group limited,elstone asset management limited,2021,1
26764,kingkey securities group limited,phillip commodities (h.k.) limited,2009,1
26765,kingkey asset management limited,phillip securities (hong kong) limited,2008,1
26766,shang international finance limited,everbright securities investment services (hk) limited,2013,1
26767,fulbright asset management limited,forthright securities company limited,2019,1
26768,i-access investors limited,seaga international limited,2008,1
26769,ces commodities (hk) limited,kgi futures (hong kong) limited,2010,1
26770,ces commodities (hk) limited,"china merchants futures (hk) co., limited",2007,1
26771,"china merchants futures (hk) co., limited",uob kay hian (hong kong) limited,2014,1
26772,asia research & capital management limited,segantii capital management limited,2019,1
26773,fwd financial planning limited (hk),oneplatform asset management limited,2014,1
26774,lgt investment management (asia) limited,hsbc guyerzeller far east limited,2004,1
26775,mayfair & ayers financial group limited,celestial commodities limited,2004,1
26776,luen fat securities company limited,k.l. securities company,nan,1
26777,china everbright securities (hk) limited,kcg securities asia limited,2012,1
26778,kcg securities asia limited,haitong international securities company limited,2020,1
26779,haitong international securities company limited,cmb international futures limited,2017,1
26780,cmb international futures limited,phillip securities (hong kong) limited,2011,1
26781,barclays capital asia limited,zheng he capital management limited,2016,1
26782,zheng he capital management limited,vms securities limited,2017,1
26783,tung shing securities (brokers) limited,sinopac securities (asia) limited,2017,1
26784,sinopac securities (asia) limited,tung shing futures (brokers) limited,2004,1
26785,phillip securities (hong kong) limited,kgi asia limited,2017,1
26786,uob kay hian (hong kong) limited,core pacific-yamaichi futures (h.k.) limited,2017,1
26787,goldhorse securities limited,uob kay hian futures (hong kong) limited,2015,1
26788,cis securities asset management limited,goldhorse capital management (hk) limited,2020,1
26789,goldhorse capital management (hk) limited,hong kong securities (international) company limited,2012,1
